0.933	0.837
0.835	0.865
0.886	0.892
0.827	0.906
0.838	0.865
0.837	0.836
0.822	0.863
0.82	0.846
0.837	0.848
0.816	0.877
0.792	0.842
0.768	0.808
0.825	0.879
0.898	0.871
0.818	0.822
0.837	0.844
0.773	0.843
0.782	0.849
0.834	0.819
0.865	0.825
0.807	0.822
0.763	0.825
0.806	0.797
0.784	0.851
0.792	0.854
0.824	0.828
0.743	0.81
0.832	0.817
0.837	0.848
0.782	0.824
0.771	0.862
0.812	0.822
0.806	0.842
0.844	0.901
0.764	0.822
0.817	0.826
0.782	0.843
0.778	0.809
0.79	0.847
0.824	0.828
0.782	0.824
0.745	0.798
0.812	0.804
0.798	0.838
0.788	0.811
0.785	0.823
0.797	0.815
0.826	0.854
0.739	0.808
0.758	0.791
0.78	0.819
0.805	0.784
0.778	0.808
0.777	0.806
0.757	0.795
0.776	0.77
0.743	0.779
0.763	0.739
0.793	0.842
0.726	0.824
0.766	0.777
0.806	0.796
0.811	0.823
0.783	0.803
0.745	0.79
0.764	0.771
0.718	0.781
0.745	0.782
0.794	0.8
0.766	0.815
0.733	0.807
0.789	0.822
0.778	0.794
0.769	0.783
0.816	0.817
0.758	0.745
0.758	0.789
0.769	0.81
0.719	0.751
0.701	0.759
0.758	0.788
0.726	0.735
0.749	0.794
0.767	0.754
0.695	0.784
0.717	0.736
0.751	0.755
0.721	0.783
0.77	0.807
0.746	0.758
0.779	0.752
0.759	0.754
0.823	0.783
0.77	0.781
0.74	0.78
0.686	0.786
0.752	0.686
0.708	0.8
0.697	0.737
0.742	0.757
0.742	0.786
0.73	0.776
0.738	0.745
0.777	0.836
0.736	0.749
0.778	0.814
0.724	0.741
0.747	0.73
0.773	0.744
0.721	0.786
0.774	0.771
0.714	0.718
0.751	0.741
0.724	0.729
0.763	0.714
0.718	0.788
0.696	0.755
0.741	0.738
0.757	0.738
0.677	0.692
0.766	0.787
0.749	0.784
0.731	0.717
0.746	0.774
0.771	0.782
0.767	0.748
0.708	0.771
0.738	0.782
0.75	0.741
0.734	0.817
0.728	0.744
0.766	0.748
0.648	0.777
0.728	0.742
0.737	0.77
0.717	0.744
0.743	0.773
0.723	0.743
0.71	0.711
0.739	0.753
0.734	0.769
0.714	0.722
0.764	0.773
0.693	0.746
0.711	0.767
0.759	0.749
0.745	0.738
0.736	0.734
0.702	0.75
0.71	0.721
0.734	0.782
0.692	0.809
0.713	0.719
0.75	0.764
0.678	0.772
0.722	0.735
0.75	0.765
0.709	0.811
0.724	0.718
0.713	0.74
0.688	0.738
0.721	0.746
0.735	0.751
0.728	0.745
0.712	0.769
0.749	0.758
0.694	0.729
0.7	0.753
0.752	0.787
0.743	0.739
0.676	0.788
0.734	0.727
0.706	0.744
0.745	0.764
0.667	0.769
0.763	0.788
0.66	0.747
0.714	0.747
0.733	0.71
0.695	0.723
0.722	0.782
0.752	0.767
0.679	0.748
0.783	0.754
0.687	0.739
0.728	0.73
0.711	0.74
0.692	0.736
0.743	0.727
0.688	0.728
0.681	0.729
0.725	0.724
0.692	0.776
0.721	0.731
0.694	0.713
0.705	0.726
0.734	0.754
0.662	0.769
0.738	0.725
0.712	0.761
0.712	0.754
0.742	0.73
0.73	0.68
0.702	0.746
0.716	0.76
0.691	0.728
0.736	0.733
0.706	0.743
0.69	0.739
0.72	0.754
0.689	0.705
0.724	0.785
0.732	0.719
0.707	0.736
0.72	0.75
0.663	0.734
0.724	0.723
0.717	0.796
0.716	0.734
0.726	0.723
0.726	0.773
0.669	0.727
0.728	0.715
0.714	0.675
0.738	0.744
0.711	0.702
0.758	0.74
0.702	0.702
0.747	0.783
0.671	0.677
0.714	0.677
0.65	0.626
0.723	0.775
0.686	0.689
0.724	0.721
0.717	0.714
0.73	0.736
0.723	0.727
0.664	0.696
0.724	0.718
0.718	0.723
0.742	0.762
0.676	0.729
0.707	0.684
0.676	0.658
0.703	0.724
0.684	0.67
0.743	0.745
0.702	0.748
0.707	0.676
0.713	0.711
0.653	0.705
0.73	0.704
0.68	0.69
0.719	0.676
0.766	0.743
0.715	0.728
0.722	0.737
0.704	0.713
0.641	0.642
0.675	0.637
0.706	0.725
0.747	0.719
0.681	0.667
0.693	0.689
0.705	0.697
0.702	0.731
0.691	0.702
0.68	0.69
0.66	0.75
0.669	0.736
0.706	0.718
0.632	0.631
0.716	0.722
0.71	0.71
0.695	0.702
0.702	0.691
0.675	0.664
0.719	0.727
0.707	0.736
0.622	0.744
0.715	0.718
0.734	0.72
0.671	0.677
0.677	0.66
0.649	0.648
0.73	0.736
0.74	0.725
0.669	0.686
0.677	0.655
0.699	0.732
0.685	0.631
0.723	0.656
0.682	0.712
0.661	0.633
0.668	0.664
0.615	0.638
0.693	0.695
0.731	0.723
0.66	0.661
0.691	0.703
0.692	0.714
0.676	0.698
0.652	0.696
0.647	0.66
0.685	0.686
0.672	0.621
0.687	0.732
0.702	0.715
0.627	0.63
0.718	0.665
0.697	0.705
0.656	0.638
0.66	0.735
0.7	0.709
0.704	0.683
0.628	0.615
0.69	0.687
0.657	0.643
0.668	0.668
0.679	0.649
0.655	0.653
0.715	0.711
0.697	0.77
0.717	0.679
0.687	0.643
0.676	0.662
0.672	0.631
0.635	0.634
0.644	0.606
0.644	0.631
0.689	0.666
0.667	0.687
0.665	0.702
0.651	0.68
0.641	0.609
0.711	0.681
0.654	0.622
0.617	0.638
0.673	0.664
0.724	0.73
0.705	0.606
0.725	0.682
0.655	0.635
0.654	0.602
0.642	0.638
0.662	0.661
0.698	0.654
0.692	0.671
0.65	0.685
0.656	0.663
0.661	0.595
0.637	0.633
0.641	0.621
0.65	0.652
0.699	0.595
0.64	0.625
0.629	0.593
0.63	0.603
0.671	0.712
0.65	0.592
0.664	0.701
0.679	0.607
0.641	0.63
0.628	0.691
0.664	0.569
0.59	0.593
0.603	0.655
0.604	0.654
0.636	0.605
0.624	0.519
0.68	0.627
0.635	0.593
0.654	0.662
0.623	0.618
0.609	0.555
0.607	0.575
0.603	0.597
0.627	0.617
0.617	0.682
0.622	0.604
0.643	0.605
0.585	0.618
0.602	0.621
0.59	0.556
0.624	0.613
0.631	0.594
0.582	0.598
0.639	0.588
0.6	0.6
0.61	0.6
0.63	0.642
0.63	0.602
0.604	0.624
0.589	0.581
0.597	0.543
0.599	0.554
0.624	0.576
0.581	0.587
0.587	0.549
0.618	0.594
0.63	0.597
0.589	0.551
0.604	0.625
